日期,开始时间,结束时间,持续时间(秒),备注
2025-07-30,11:28:47,11:28:51,3.8,高数时间
2025-07-30,11:28:48,11:28:53,4.8,高数时间
2025-07-30,11:28:49,11:28:54,5.4,高数时间
2025-07-30,11:28:49,11:28:55,6.2,高数时间
2025-07-30,11:28:51,11:28:58,7.0,高数时间
2025-07-30,11:28:51,11:29:11,20.4,高数时间
2025-07-30,11:29:07,11:29:34,27.5,高数时间
2025-07-30,13:13:29,13:14:15,46.0,高数
2025-07-30,14:41:36,16:33:59,6742.9,高数
2025-07-30,15:36:37,18:54:34,11877.2,高数
2025-07-30,17:39:59,23:01:32,19293.2,高数
2025-07-31,07:48:08,07:50:47,158.9,高数
2025-07-31,07:53:13,08:47:59,3286.5,高数
2025-07-31,09:12:57,09:46:01,1884.0,高数
2025-07-31,10:34:54,10:34:56,1.5,高数
2025-07-31,10:52:12,12:03:45,4293.8,高数
2025-07-31,12:45:22,13:02:44,1122.3,高数
2025-07-31,14:31:34,14:59:35,1680.5,高数
2025-07-31,15:06:46,16:02:44,3357.8,高数
2025-07-31,17:20:30,19:49:37,8946.5,高数
2025-07-31,21:12:22,22:19:29,4026.3,高数
2025-08-01,08:16:10,09:56:47,6037.4,高数
2025-08-01,12:33:23,12:33:23,0.9,结构
2025-08-01,15:44:13,21:27:48,20615.0,结构
2025-08-02,08:42:08,12:09:32,12444.6,高数
2025-08-02,14:44:33,15:10:02,1529.2,高数
2025-08-02,15:44:28,19:17:52,12803.9,高数
2025-08-02,21:03:26,22:03:38,3611.9,高数
2025-08-03,08:13:50,11:27:56,11646.7,高数
2025-08-03,15:12:11,17:30:11,8280.2,高数
2025-08-03,17:30:23,18:25:24,3301.1,高数
2025-08-03,20:18:53,20:54:52,2158.7,高数
2025-08-03,23:17:55,23:31:12,797.3,英语
2025-08-04,09:14:08,10:44:13,5405.2,高数
2025-08-04,14:16:23,17:34:53,11909.7,高数
2025-08-04,20:52:30,22:15:31,4981.8,高数
2025-08-05,09:09:00,09:35:48,1607.7,高数
2025-08-05,14:27:58,18:47:08,15549.8,高数
2025-08-05,20:29:29,21:47:53,4703.7,高数
2025-08-06,10:05:28,10:42:33,2225.3,高数
2025-08-06,11:13:57,14:22:25,11308.7,高数
2025-08-06,14:35:33,17:48:30,11576.7,高数
2025-08-06,17:55:33,19:00:04,3870.7,高数
2025-08-06,20:39:37,22:20:38,6060.9,结构
2025-08-06,23:45:35,23:52:31,416.9,英语
2025-08-07,08:43:32,09:51:08,4055.3,高数
2025-08-07,10:10:13,11:17:02,4008.2,高数
2025-08-07,11:27:26,12:02:34,2108.2,高数
2025-08-07,14:26:16,16:19:34,6798.6,高数
2025-08-07,16:35:32,17:28:34,3181.7,高数
2025-08-07,17:52:51,18:45:39,3167.9,高数
2025-08-07,19:08:16,19:27:49,1173.6,高数
2025-08-07,20:02:49,21:20:02,4633.3,高数
2025-08-07,21:20:06,22:45:59,5152.3,结构
